id,State (group),Charge (group),file matches parameter,Region,Charge/Gender,Country,File,File by parameter,State,Title 1,Year,Year1,All state count,Count,Per state count,state %,FromYear
631,TN,GINA,True,South,GINA,US,State Receipts,State Receipts,TN,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,12,12,0.049586777,2021
632,ND,Disability Based,True,Midwest,Disability,US,State Receipts,State Receipts,ND,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,20,20,0.000875005,2021
633,WI,TVII Retaliation,True,Midwest,Retaliation (TVII),US,State Receipts,State Receipts,WI,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,242,242,0.009638746,2021
634,GU,Disability Based,True,Territories/Armed Forces,Disability,US,State Receipts,State Receipts,GU,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,2,2,8.750054688e-05,2021
635,NC,Age Based,True,South,Age,US,State Receipts,State Receipts,NC,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,548,548,0.042277426,2021
636,MT,Color Based,True,West,Color,US,State Receipts,State Receipts,MT,EEOC Charge Receipts by State,FY 2021 Color,1/1/2021,3513,1,1,0.000284657,2021
637,UT,TVII Retaliation,True,West,Retaliation (TVII),US,State Receipts,State Receipts,UT,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,81,81,0.003226192,2021
638,OH,EPA,True,Midwest,Equal Pay Act,US,State Receipts,State Receipts,OH,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,40,40,0.04519774,2021
639,OH,Sex,True,Midwest,Sex,US,State Receipts,State Receipts,OH,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,679,679,0.036205609,2021
640,ME,Religion,True,Northeast,Religion,US,State Receipts,State Receipts,ME,EEOC Charge Receipts by State,FY 2021 Religion,1/1/2021,2108,5,5,0.002371917,2021
641,NY,TVII Retaliation,True,Northeast,Retaliation (TVII),US,State Receipts,State Receipts,NY,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,1193,1193,0.047516629,2021
642,MD,Race,True,South,Race,US,State Receipts,State Receipts,MD,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,702,702,0.03359977,2021
643,LA,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,LA,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,39,39,0.006282216,2021
644,ND,Sex,True,Midwest,Sex,US,State Receipts,State Receipts,ND,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,25,25,0.001333049,2021
645,MS,GINA,True,South,GINA,US,State Receipts,State Receipts,MS,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,4,4,0.016528926,2021
646,MN,Color Based,True,Midwest,Color,US,State Receipts,State Receipts,MN,EEOC Charge Receipts by State,FY 2021 Color,1/1/2021,3513,34,34,0.009678338,2021
647,MN,Religion,True,Midwest,Religion,US,State Receipts,State Receipts,MN,EEOC Charge Receipts by State,FY 2021 Religion,1/1/2021,2108,29,29,0.013757116,2021
648,PW,Age Based,True,Territories/Armed Forces,Age,US,State Receipts,State Receipts,PW,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,0,0,0.0,2021
649,ND,TVII Retaliation,True,Midwest,Retaliation (TVII),US,State Receipts,State Receipts,ND,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,27,27,0.001075397,2021
650,GA,GINA,True,South,GINA,US,State Receipts,State Receipts,GA,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,5,5,0.020661157,2021
651,UT,Race,True,West,Race,US,State Receipts,State Receipts,UT,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,44,44,0.002105969,2021
652,NM,Sex,True,West,Sex,US,State Receipts,State Receipts,NM,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,115,115,0.006132025,2021
653,CO,Age Based,True,West,Age,US,State Receipts,State Receipts,CO,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,269,269,0.02075297,2021
654,WY,National Origin Based,True,West,National Origin,US,State Receipts,State Receipts,WY,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,3,3,0.000483247,2021
655,DE,Retaliation,True,Northeast,Retaliation (All Statutes),US,State Receipts,State Receipts,DE,EEOC Charge Receipts by State,FY 2021 Retaliation All Statutes,1/1/2021,34316,130,130,0.00378832,2021
656,WV,TVII Retaliation,True,South,Retaliation (TVII),US,State Receipts,State Receipts,WV,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,27,27,0.001075397,2021
657,ID,TVII Retaliation,True,West,Retaliation (TVII),US,State Receipts,State Receipts,ID,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,18,18,0.000716932,2021
658,WA,Sex,True,West,Sex,US,State Receipts,State Receipts,WA,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,309,309,0.016476485,2021
659,MN,Sex,True,Midwest,Sex,US,State Receipts,State Receipts,MN,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,182,182,0.009704596,2021
660,IA,Color Based,True,Midwest,Color,US,State Receipts,State Receipts,IA,EEOC Charge Receipts by State,FY 2021 Color,1/1/2021,3513,7,7,0.001992599,2021
661,OK,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,OK,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,31,31,0.004993557,2021
662,LA,GINA,True,South,GINA,US,State Receipts,State Receipts,LA,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,4,4,0.016528926,2021
663,AS,Retaliation,True,Territories/Armed Forces,Retaliation (All Statutes),US,State Receipts,State Receipts,AS,EEOC Charge Receipts by State,FY 2021 Retaliation All Statutes,1/1/2021,34316,0,0,0.0,2021
664,MT,National Origin Based,True,West,National Origin,US,State Receipts,State Receipts,MT,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,6,6,0.000966495,2021
665,AR,TVII Retaliation,True,South,Retaliation (TVII),US,State Receipts,State Receipts,AR,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,357,357,0.014219142,2021
666,MP,National Origin Based,True,Territories/Armed Forces,National Origin,US,State Receipts,State Receipts,MP,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,9,9,0.001449742,2021
667,AL,Color Based,True,South,Color,US,State Receipts,State Receipts,AL,EEOC Charge Receipts by State,FY 2021 Color,1/1/2021,3513,55,55,0.015656134,2021
668,WY,GINA,True,West,GINA,US,State Receipts,State Receipts,WY,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,0,0,0.0,2021
669,WY,EPA,True,West,Equal Pay Act,US,State Receipts,State Receipts,WY,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,0,0,0.0,2021
670,SC,Color Based,True,South,Color,US,State Receipts,State Receipts,SC,EEOC Charge Receipts by State,FY 2021 Color,1/1/2021,3513,35,35,0.009962995,2021
0,VT,Disability Based,True,Northeast,Disability,US,State Receipts,State Receipts,VT,EEOC Charge Receipts by State,FY 2020 Disability,1/1/2020,24333,12,12,0.000493157,2020
1,MD,Disability Based,True,South,Disability,US,State Receipts,State Receipts,MD,EEOC Charge Receipts by State,FY 2020 Disability,1/1/2020,24333,566,566,0.023260593,2020
2,NE,Race,True,Midwest,Race,US,State Receipts,State Receipts,NE,EEOC Charge Receipts by State,FY 2020 Race,1/1/2020,22033,20,20,0.000907729,2020
3,ME,Race,True,Northeast,Race,US,State Receipts,State Receipts,ME,EEOC Charge Receipts by State,FY 2020 Race,1/1/2020,22033,7,7,0.000317705,2020
4,PR,Religion,True,Territories/Armed Forces,Religion,US,State Receipts,State Receipts,PR,EEOC Charge Receipts by State,FY 2020 Religion,1/1/2020,2398,4,4,0.001668057,2020
5,DC,GINA,True,South,GINA,US,State Receipts,State Receipts,DC,EEOC Charge Receipts by State,FY 2020 GINA,1/1/2020,440,6,6,0.013636364,2020
6,ND,Religion,True,Midwest,Religion,US,State Receipts,State Receipts,ND,EEOC Charge Receipts by State,FY 2020 Religion,1/1/2020,2398,8,8,0.003336113,2020
7,IN,Age Based,True,Midwest,Age,US,State Receipts,State Receipts,IN,EEOC Charge Receipts by State,FY 2020 Age,1/1/2020,14167,363,363,0.025622927,2020
8,NJ,National Origin Based,True,Northeast,National Origin,US,State Receipts,State Receipts,NJ,EEOC Charge Receipts by State,FY 2020 National Origin,1/1/2020,6370,119,119,0.018681319,2020
9,SC,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,SC,EEOC Charge Receipts by State,FY 2020 National Origin,1/1/2020,6370,48,48,0.007535322,2020
10,SD,Disability Based,True,Midwest,Disability,US,State Receipts,State Receipts,SD,EEOC Charge Receipts by State,FY 2020 Disability,1/1/2020,24333,30,30,0.001232894,2020
11,GU,EPA,True,Territories/Armed Forces,Equal Pay Act,US,State Receipts,State Receipts,GU,EEOC Charge Receipts by State,FY 2020 EPA,1/1/2020,980,0,0,0.0,2020
12,DE,National Origin Based,True,Northeast,National Origin,US,State Receipts,State Receipts,DE,EEOC Charge Receipts by State,FY 2020 National Origin,1/1/2020,6370,15,15,0.002354788,2020
13,MA,Sex,True,Northeast,Sex,US,State Receipts,State Receipts,MA,EEOC Charge Receipts by State,FY 2020 Sex,1/1/2020,21378,84,84,0.003929273,2020
14,AL,Religion,True,South,Religion,US,State Receipts,State Receipts,AL,EEOC Charge Receipts by State,FY 2020 Religion,1/1/2020,2398,33,33,0.013761468,2020
15,CO,National Origin Based,True,West,National Origin,US,State Receipts,State Receipts,CO,EEOC Charge Receipts by State,FY 2020 National Origin,1/1/2020,6370,171,171,0.026844584,2020
16,AR,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,AR,EEOC Charge Receipts by State,FY 2020 National Origin,1/1/2020,6370,57,57,0.008948195,2020
17,IL,Color Based,True,Midwest,Color,US,State Receipts,State Receipts,IL,EEOC Charge Receipts by State,FY 2020 Color,1/1/2020,3558,148,148,0.041596402,2020
18,OK,GINA,True,South,GINA,US,State Receipts,State Receipts,OK,EEOC Charge Receipts by State,FY 2020 GINA,1/1/2020,440,2,2,0.004545455,2020
19,ID,GINA,True,West,GINA,US,State Receipts,State Receipts,ID,EEOC Charge Receipts by State,FY 2020 GINA,1/1/2020,440,1,1,0.002272727,2020
20,CT,National Origin Based,True,Northeast,National Origin,US,State Receipts,State Receipts,CT,EEOC Charge Receipts by State,FY 2020 National Origin,1/1/2020,6370,32,32,0.005023548,2020
21,CA,TVII Retaliation,True,West,Retaliation (TVII),US,State Receipts,State Receipts,CA,EEOC Charge Receipts by State,FY 2020 TVII Retaliation  Statutes,1/1/2020,27968,1698,1698,0.060712243,2020
22,WV,Color Based,True,South,Color,US,State Receipts,State Receipts,WV,EEOC Charge Receipts by State,FY 2020 Color,1/1/2020,3558,3,3,0.00084317,2020
23,MS,Sex,True,South,Sex,US,State Receipts,State Receipts,MS,EEOC Charge Receipts by State,FY 2020 Sex,1/1/2020,21378,365,365,0.017073627,2020
24,TX,Age Based,True,South,Age,US,State Receipts,State Receipts,TX,EEOC Charge Receipts by State,FY 2020 Age,1/1/2020,14167,1514,1514,0.106868074,2020
25,AR,Age Based,True,South,Age,US,State Receipts,State Receipts,AR,EEOC Charge Receipts by State,FY 2020 Age,1/1/2020,14167,204,204,0.014399661,2020
26,NM,GINA,True,West,GINA,US,State Receipts,State Receipts,NM,EEOC Charge Receipts by State,FY 2020 GINA,1/1/2020,440,2,2,0.004545455,2020
27,AP,Color Based,True,Territories/Armed Forces,Color,US,State Receipts,State Receipts,Armed Forces Pacific,EEOC Charge Receipts by State,FY 2020 Color,1/1/2020,3558,0,0,0.0,2020
28,DE,GINA,True,Northeast,GINA,US,State Receipts,State Receipts,DE,EEOC Charge Receipts by State,FY 2020 GINA,1/1/2020,440,3,3,0.006818182,2020
29,MH,Retaliation,True,Territories/Armed Forces,Retaliation (All Statutes),US,State Receipts,State Receipts,MH,EEOC Charge Receipts by State,FY 2020 Retaliation All Statutes,1/1/2020,37595,0,0,0.0,2020
30,AR,Sex,True,South,Sex,US,State Receipts,State Receipts,AR,EEOC Charge Receipts by State,FY 2020 Sex,1/1/2020,21378,333,333,0.015576761,2020
31,FL,Sex,True,South,Sex,US,State Receipts,State Receipts,FL,EEOC Charge Receipts by State,FY 2020 Sex,1/1/2020,21378,1866,1866,0.087285995,2020
32,NC,TVII Retaliation,True,South,Retaliation (TVII),US,State Receipts,State Receipts,NC,EEOC Charge Receipts by State,FY 2020 TVII Retaliation  Statutes,1/1/2020,27968,1408,1408,0.050343249,2020
33,CT,EPA,True,Northeast,Equal Pay Act,US,State Receipts,State Receipts,CT,EEOC Charge Receipts by State,FY 2020 EPA,1/1/2020,980,3,3,0.003061224,2020
34,LA,Religion,True,South,Religion,US,State Receipts,State Receipts,LA,EEOC Charge Receipts by State,FY 2020 Religion,1/1/2020,2398,23,23,0.009591326,2020
35,VA,Sex,True,South,Sex,US,State Receipts,State Receipts,VA,EEOC Charge Receipts by State,FY 2020 Sex,1/1/2020,21378,657,657,0.030732529,2020
36,MH,Race,True,Territories/Armed Forces,Race,US,State Receipts,State Receipts,MH,EEOC Charge Receipts by State,FY 2020 Race,1/1/2020,22033,0,0,0.0,2020
37,FL,GINA,True,South,GINA,US,State Receipts,State Receipts,FL,EEOC Charge Receipts by State,FY 2020 GINA,1/1/2020,440,5,5,0.011363636,2020
38,ND,Age Based,True,Midwest,Age,US,State Receipts,State Receipts,ND,EEOC Charge Receipts by State,FY 2020 Age,1/1/2020,14167,9,9,0.000635279,2020
39,MT,Race,True,West,Race,US,State Receipts,State Receipts,MT,EEOC Charge Receipts by State,FY 2020 Race,1/1/2020,22033,7,7,0.000317705,2020
40,NC,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,NC,EEOC Charge Receipts by State,FY 2020 National Origin,1/1/2020,6370,239,239,0.037519623,2020
41,TX,Disability Based,True,South,Disability,US,State Receipts,State Receipts,TX,EEOC Charge Receipts by State,FY 2020 Disability,1/1/2020,24333,2358,2358,0.096905437,2020
42,MN,Race,True,Midwest,Race,US,State Receipts,State Receipts,MN,EEOC Charge Receipts by State,FY 2020 Race,1/1/2020,22033,299,299,0.013570553,2020
43,TN,GINA,True,South,GINA,US,State Receipts,State Receipts,TN,EEOC Charge Receipts by State,FY 2020 GINA,1/1/2020,440,5,5,0.011363636,2020
44,ME,Age Based,True,Northeast,Age,US,State Receipts,State Receipts,ME,EEOC Charge Receipts by State,FY 2020 Age,1/1/2020,14167,7,7,0.000494106,2020
45,AK,Color Based,True,West,Color,US,State Receipts,State Receipts,AK,EEOC Charge Receipts by State,FY 2020 Color,1/1/2020,3558,4,4,0.001124227,2020
46,TX,Color Based,True,South,Color,US,State Receipts,State Receipts,TX,EEOC Charge Receipts by State,FY 2020 Color,1/1/2020,3558,417,417,0.117200675,2020
47,IL,National Origin Based,True,Midwest,National Origin,US,State Receipts,State Receipts,IL,EEOC Charge Receipts by State,FY 2020 National Origin,1/1/2020,6370,340,340,0.053375196,2020
48,PW,Religion,True,Territories/Armed Forces,Religion,US,State Receipts,State Receipts,PW,EEOC Charge Receipts by State,FY 2020 Religion,1/1/2020,2398,0,0,0.0,2020
49,KS,National Origin Based,True,Midwest,National Origin,US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2020 National Origin,1/1/2020,6370,49,49,0.007692308,2020
50,FL,EPA,True,South,Equal Pay Act,US,State Receipts,State Receipts,FL,EEOC Charge Receipts by State,FY 2020 EPA,1/1/2020,980,34,34,0.034693878,2020
51,NH,Religion,True,Northeast,Religion,US,State Receipts,State Receipts,NH,EEOC Charge Receipts by State,FY 2020 Religion,1/1/2020,2398,1,1,0.000417014,2020
52,OH,Color Based,True,Midwest,Color,US,State Receipts,State Receipts,OH,EEOC Charge Receipts by State,FY 2020 Color,1/1/2020,3558,73,73,0.020517144,2020
53,PW,Sex,True,Territories/Armed Forces,Sex,US,State Receipts,State Receipts,PW,EEOC Charge Receipts by State,FY 2020 Sex,1/1/2020,21378,0,0,0.0,2020
54,IA,GINA,True,Midwest,GINA,US,State Receipts,State Receipts,IA,EEOC Charge Receipts by State,FY 2020 GINA,1/1/2020,440,1,1,0.002272727,2020
55,VT,Sex,True,Northeast,Sex,US,State Receipts,State Receipts,VT,EEOC Charge Receipts by State,FY 2020 Sex,1/1/2020,21378,17,17,0.00079521,2020
56,VT,EPA,True,Northeast,Equal Pay Act,US,State Receipts,State Receipts,VT,EEOC Charge Receipts by State,FY 2020 EPA,1/1/2020,980,1,1,0.001020408,2020
57,WY,Disability Based,True,West,Disability,US,State Receipts,State Receipts,WY,EEOC Charge Receipts by State,FY 2020 Disability,1/1/2020,24333,16,16,0.000657543,2020
58,ND,EPA,True,Midwest,Equal Pay Act,US,State Receipts,State Receipts,ND,EEOC Charge Receipts by State,FY 2020 EPA,1/1/2020,980,8,8,0.008163265,2020
59,MO,Retaliation,True,Midwest,Retaliation (All Statutes),US,State Receipts,State Receipts,MO,EEOC Charge Receipts by State,FY 2020 Retaliation All Statutes,1/1/2020,37595,930,930,0.024737332,2020
60,NC,Race,True,South,Race,US,State Receipts,State Receipts,NC,EEOC Charge Receipts by State,FY 2020 Race,1/1/2020,22033,1219,1219,0.055326102,2020
61,DC,Color Based,True,South,Color,US,State Receipts,State Receipts,DC,EEOC Charge Receipts by State,FY 2020 Color,1/1/2020,3558,37,37,0.010399101,2020
62,ME,Religion,True,Northeast,Religion,US,State Receipts,State Receipts,ME,EEOC Charge Receipts by State,FY 2020 Religion,1/1/2020,2398,1,1,0.000417014,2020
63,CT,Race,True,Northeast,Race,US,State Receipts,State Receipts,CT,EEOC Charge Receipts by State,FY 2020 Race,1/1/2020,22033,52,52,0.002360096,2020
64,AP,GINA,True,Territories/Armed Forces,GINA,US,State Receipts,State Receipts,Armed Forces Pacific,EEOC Charge Receipts by State,FY 2020 GINA,1/1/2020,440,0,0,0.0,2020
65,MS,Retaliation,True,South,Retaliation (All Statutes),US,State Receipts,State Receipts,MS,EEOC Charge Receipts by State,FY 2020 Retaliation All Statutes,1/1/2020,37595,438,438,0.011650485,2020
66,PW,Retaliation,True,Territories/Armed Forces,Retaliation (All Statutes),US,State Receipts,State Receipts,PW,EEOC Charge Receipts by State,FY 2020 Retaliation All Statutes,1/1/2020,37595,0,0,0.0,2020
67,WV,Religion,True,South,Religion,US,State Receipts,State Receipts,WV,EEOC Charge Receipts by State,FY 2020 Religion,1/1/2020,2398,7,7,0.002919099,2020
68,AS,Disability Based,True,Territories/Armed Forces,Disability,US,State Receipts,State Receipts,AS,EEOC Charge Receipts by State,FY 2020 Disability,1/1/2020,24333,2,2,8.219290675e-05,2020
69,SD,Color Based,True,Midwest,Color,US,State Receipts,State Receipts,SD,EEOC Charge Receipts by State,FY 2020 Color,1/1/2020,3558,2,2,0.000562114,2020
70,NJ,Sex,True,Northeast,Sex,US,State Receipts,State Receipts,NJ,EEOC Charge Receipts by State,FY 2020 Sex,1/1/2020,21378,351,351,0.016418748,2020
71,FM,Race,True,Territories/Armed Forces,Race,US,State Receipts,State Receipts,FM,EEOC Charge Receipts by State,FY 2020 Race,1/1/2020,22033,0,0,0.0,2020
72,SC,EPA,True,South,Equal Pay Act,US,State Receipts,State Receipts,SC,EEOC Charge Receipts by State,FY 2020 EPA,1/1/2020,980,12,12,0.012244898,2020
73,HI,Color Based,True,West,Color,US,State Receipts,State Receipts,HI,EEOC Charge Receipts by State,FY 2020 Color,1/1/2020,3558,15,15,0.004215852,2020
74,VI,TVII Retaliation,True,Territories/Armed Forces,Retaliation (TVII),US,State Receipts,State Receipts,VI,EEOC Charge Receipts by State,FY 2020 TVII Retaliation  Statutes,1/1/2020,27968,11,11,0.000393307,2020
75,CO,EPA,True,West,Equal Pay Act,US,State Receipts,State Receipts,CO,EEOC Charge Receipts by State,FY 2020 EPA,1/1/2020,980,40,40,0.040816327,2020
76,MP,National Origin Based,True,Territories/Armed Forces,National Origin,US,State Receipts,State Receipts,MP,EEOC Charge Receipts by State,FY 2020 National Origin,1/1/2020,6370,4,4,0.000627943,2020
77,GA,TVII Retaliation,True,South,Retaliation (TVII),US,State Receipts,State Receipts,GA,EEOC Charge Receipts by State,FY 2020 TVII Retaliation  Statutes,1/1/2020,27968,1733,1733,0.061963673,2020
78,ME,EPA,True,Northeast,Equal Pay Act,US,State Receipts,State Receipts,ME,EEOC Charge Receipts by State,FY 2020 EPA,1/1/2020,980,12,12,0.012244898,2020
79,WV,Retaliation,True,South,Retaliation (All Statutes),US,State Receipts,State Receipts,WV,EEOC Charge Receipts by State,FY 2020 Retaliation All Statutes,1/1/2020,37595,62,62,0.001649155,2020
80,MH,Religion,True,Territories/Armed Forces,Religion,US,State Receipts,State Receipts,MH,EEOC Charge Receipts by State,FY 2020 Religion,1/1/2020,2398,0,0,0.0,2020
81,VT,National Origin Based,True,Northeast,National Origin,US,State Receipts,State Receipts,VT,EEOC Charge Receipts by State,FY 2020 National Origin,1/1/2020,6370,5,5,0.000784929,2020
82,UT,Retaliation,True,West,Retaliation (All Statutes),US,State Receipts,State Receipts,UT,EEOC Charge Receipts by State,FY 2020 Retaliation All Statutes,1/1/2020,37595,154,154,0.004096289,2020
83,NE,Sex,True,Midwest,Sex,US,State Receipts,State Receipts,NE,EEOC Charge Receipts by State,FY 2020 Sex,1/1/2020,21378,36,36,0.001683974,2020
84,FL,Age Based,True,South,Age,US,State Receipts,State Receipts,FL,EEOC Charge Receipts by State,FY 2020 Age,1/1/2020,14167,1144,1144,0.080751041,2020
85,NY,National Origin Based,True,Northeast,National Origin,US,State Receipts,State Receipts,NY,EEOC Charge Receipts by State,FY 2020 National Origin,1/1/2020,6370,433,433,0.067974882,2020
86,SC,Sex,True,South,Sex,US,State Receipts,State Receipts,SC,EEOC Charge Receipts by State,FY 2020 Sex,1/1/2020,21378,311,311,0.014547666,2020
87,VT,Race,True,Northeast,Race,US,State Receipts,State Receipts,VT,EEOC Charge Receipts by State,FY 2020 Race,1/1/2020,22033,8,8,0.000363092,2020
88,MS,Age Based,True,South,Age,US,State Receipts,State Receipts,MS,EEOC Charge Receipts by State,FY 2020 Age,1/1/2020,14167,178,178,0.01256441,2020
89,IA,Age Based,True,Midwest,Age,US,State Receipts,State Receipts,IA,EEOC Charge Receipts by State,FY 2020 Age,1/1/2020,14167,54,54,0.003811675,2020
90,IN,National Origin Based,True,Midwest,National Origin,US,State Receipts,State Receipts,IN,EEOC Charge Receipts by State,FY 2020 National Origin,1/1/2020,6370,105,105,0.016483516,2020
91,KY,Age Based,True,South,Age,US,State Receipts,State Receipts,KY,EEOC Charge Receipts by State,FY 2020 Age,1/1/2020,14167,134,134,0.009458601,2020
92,AS,EPA,True,Territories/Armed Forces,Equal Pay Act,US,State Receipts,State Receipts,AS,EEOC Charge Receipts by State,FY 2020 EPA,1/1/2020,980,0,0,0.0,2020
93,AZ,Color Based,True,West,Color,US,State Receipts,State Receipts,AZ,EEOC Charge Receipts by State,FY 2020 Color,1/1/2020,3558,86,86,0.024170883,2020
94,HI,Age Based,True,West,Age,US,State Receipts,State Receipts,HI,EEOC Charge Receipts by State,FY 2020 Age,1/1/2020,14167,68,68,0.004799887,2020
95,FM,EPA,True,Territories/Armed Forces,Equal Pay Act,US,State Receipts,State Receipts,FM,EEOC Charge Receipts by State,FY 2020 EPA,1/1/2020,980,0,0,0.0,2020
96,AR,TVII Retaliation,True,South,Retaliation (TVII),US,State Receipts,State Receipts,AR,EEOC Charge Receipts by State,FY 2020 TVII Retaliation  Statutes,1/1/2020,27968,335,335,0.011977975,2020
97,IN,Sex,True,Midwest,Sex,US,State Receipts,State Receipts,IN,EEOC Charge Receipts by State,FY 2020 Sex,1/1/2020,21378,569,569,0.026616147,2020
98,AZ,TVII Retaliation,True,West,Retaliation (TVII),US,State Receipts,State Receipts,AZ,EEOC Charge Receipts by State,FY 2020 TVII Retaliation  Statutes,1/1/2020,27968,618,618,0.022096682,2020
99,OH,TVII Retaliation,True,Midwest,Retaliation (TVII),US,State Receipts,State Receipts,OH,EEOC Charge Receipts by State,FY 2020 TVII Retaliation  Statutes,1/1/2020,27968,813,813,0.029068936,2020
100,MS,Color Based,True,South,Color,US,State Receipts,State Receipts,MS,EEOC Charge Receipts by State,FY 2020 Color,1/1/2020,3558,15,15,0.004215852,2020
101,DE,Age Based,True,Northeast,Age,US,State Receipts,State Receipts,DE,EEOC Charge Receipts by State,FY 2020 Age,1/1/2020,14167,30,30,0.002117597,2020
102,KS,Religion,True,Midwest,Religion,US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2020 Religion,1/1/2020,2398,20,20,0.008340284,2020
103,OH,Race,True,Midwest,Race,US,State Receipts,State Receipts,OH,EEOC Charge Receipts by State,FY 2020 Race,1/1/2020,22033,693,693,0.031452821,2020
104,OH,EPA,True,Midwest,Equal Pay Act,US,State Receipts,State Receipts,OH,EEOC Charge Receipts by State,FY 2020 EPA,1/1/2020,980,34,34,0.034693878,2020
105,MA,GINA,True,Northeast,GINA,US,State Receipts,State Receipts,MA,EEOC Charge Receipts by State,FY 2020 GINA,1/1/2020,440,6,6,0.013636364,2020
106,SD,Sex,True,Midwest,Sex,US,State Receipts,State Receipts,SD,EEOC Charge Receipts by State,FY 2020 Sex,1/1/2020,21378,26,26,0.001216204,2020
107,WI,Disability Based,True,Midwest,Disability,US,State Receipts,State Receipts,WI,EEOC Charge Receipts by State,FY 2020 Disability,1/1/2020,24333,348,348,0.014301566,2020
108,NE,National Origin Based,True,Midwest,National Origin,US,State Receipts,State Receipts,NE,EEOC Charge Receipts by State,FY 2020 National Origin,1/1/2020,6370,14,14,0.002197802,2020
109,KS,EPA,True,Midwest,Equal Pay Act,US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2020 EPA,1/1/2020,980,11,11,0.01122449,2020
110,OR,Retaliation,True,West,Retaliation (All Statutes),US,State Receipts,State Receipts,OR,EEOC Charge Receipts by State,FY 2020 Retaliation All Statutes,1/1/2020,37595,125,125,0.00332491,2020
111,CA,Disability Based,True,West,Disability,US,State Receipts,State Receipts,CA,EEOC Charge Receipts by State,FY 2020 Disability,1/1/2020,24333,1502,1502,0.061726873,2020
112,MP,Race,True,Territories/Armed Forces,Race,US,State Receipts,State Receipts,MP,EEOC Charge Receipts by State,FY 2020 Race,1/1/2020,22033,0,0,0.0,2020
113,DC,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,DC,EEOC Charge Receipts by State,FY 2020 National Origin,1/1/2020,6370,57,57,0.008948195,2020
114,WA,Religion,True,West,Religion,US,State Receipts,State Receipts,WA,EEOC Charge Receipts by State,FY 2020 Religion,1/1/2020,2398,44,44,0.018348624,2020
115,KY,EPA,True,South,Equal Pay Act,US,State Receipts,State Receipts,KY,EEOC Charge Receipts by State,FY 2020 EPA,1/1/2020,980,8,8,0.008163265,2020
116,MP,Color Based,True,Territories/Armed Forces,Color,US,State Receipts,State Receipts,MP,EEOC Charge Receipts by State,FY 2020 Color,1/1/2020,3558,0,0,0.0,2020
117,MO,Race,True,Midwest,Race,US,State Receipts,State Receipts,MO,EEOC Charge Receipts by State,FY 2020 Race,1/1/2020,22033,447,447,0.02028775,2020
118,AL,Disability Based,True,South,Disability,US,State Receipts,State Receipts,AL,EEOC Charge Receipts by State,FY 2020 Disability,1/1/2020,24333,403,403,0.016561871,2020
119,OR,National Origin Based,True,West,National Origin,US,State Receipts,State Receipts,OR,EEOC Charge Receipts by State,FY 2020 National Origin,1/1/2020,6370,23,23,0.003610675,2020
